site_number,nitrate,GPM,state
390303077164701,,,MD
390337077094601,,,MD
390655076540301,,,MD
390825077132501,,,MD
390940076581001,,,MD
391013077281101,,,MD
391054076575801,3.8,,MD
391107076534701,,,MD
391110076542201,,,MD
391116076495401,,,MD
391117076535401,,,MD
391126076541901,,,MD
391132076545001,,,MD
391201077035601,,,MD
391220076534701,,,MD
391232079285001,,,MD
391247077032001,,,MD
391247079290501,2.35,,MD
391258079283501,0.53,,MD
391303079280501,1.4,,MD
391308076425901,,,MD
391320077270101,,,MD
391321079280301,0.11,,MD
391322075463001,9.645,,MD
391326079253701,0.6,,MD
391400077151401,,,MD
391408077032101,,,MD
391415079270601,0.92,,MD
391433079265801,1.3,,MD
391439076555601,4,,MD
391439076555602,3.9,,MD
391448076462001,,,MD
391451077210001,,,MD
391451079264201,,,MD
391453075590801,,,MD
391504079281701,1.8,,MD
391513076554201,,,MD
391517076455801,,,MD
391522079253701,0.68,,MD
391527076560701,,,MD
391527079254101,0.62,,MD
391533076563301,,,MD
391534077021701,4.9,,MD
391553076483801,,,MD
391613077314601,,,MD
391616079245101,,,MD
391621079253501,,,MD
391644077275501,,,MD
391702076003501,2.325,,MD
391705077095501,,,MD
391721077115601,,,MD
391737077012001,,,MD
391739079210501,,,MD
391740077270801,,,MD
391745079252201,,,MD
391756077232501,,,MD
391800077264701,,,MD
391816076414301,,,MD
391818079241701,,,MD
391820077332701,,,MD
391839077092501,,,MD
391841077001601,2.2,,MD
391846077370501,4.8,,MD
391847077370401,,,MD
391852076414801,,,MD
391852076484801,,,MD
391853076420301,,,MD
391903077173402,,,MD
391911077024601,,,MD
391926077255401,,,MD
391928077271101,,,MD
391930077270301,,,MD
391930077270401,,,MD
391931077425001,,,MD
391933077323201,,,MD
391934077270901,,,MD
391936077321101,,,MD
391940077261401,,,MD
391943077024801,,,MD
391947077404601,,,MD
391949077094301,,,MD
391950077421801,,,MD
391954077343401,,,MD
392006076343501,,,MD
392010077255301,,,MD
392010077271301,,,MD
392011077422601,,,MD
392019079184801,,,MD
392034077033501,,,MD
392038077271701,,,MD
392040077405601,,,MD
392048077270401,,,MD
392054077270401,,,MD
392058076481701,4.6,,MD
392058077270301,,,MD
392059076504901,0.15,,MD
392108079200801,,,MD
392111076053801,,,MD
392114076571601,,,MD
392114079182001,,,MD
392115077100401,5.1,,MD
392116077414301,,,MD
